Name,career_high_point,earnings_2019,image_url,number_of_times_on_forbes_list_since_2017,profession,profile,source_of_income
Virat Kohli,ICC cricketer of the year in 2018,252.72,https://www.forbesindia.com/media/celeblist2019/big/001_Virat Kohli.jpg,3,Cricketer,"The Indian men's cricket captain continues to remain a prolific run scorer, notching up 826 runs in 13 Test innings and 1,054 ODI (One Day International) runs in 20 ODI outings in 2019. He currently occupies the top spot for ICC batting rankings in both Tests and ODIs. Kohli has also proved his mettle as a business-person. He endorses brands such as Uber, Audi, MRF, Manyavar and Tissot among others, while One8, a brand he co-created with Puma, has already crossed the Rs 100-crore revenue mark. His estimated earnings in 2019 are pegged at about Rs 253 crore.","Cricket, Endorsements"
Akshay Kumar,Was the only Indian to be on the Forbes US list of World's Highest-Paid Celebrities of 2019. He ranked 33 with $65 million in earnings,293.25,https://www.forbesindia.com/media/celeblist2019/big/002_Akshay Kumar.jpg,3,Actor,"Akshay Kumar has dominated 2019 with multiple releases, and is breaking several records at the box office. His recent release, Housefull 4, became the sixth-highest grossing Bollywood movie of 2019 with worldwide gross collection of Rs 278.78 crore. His previous releases this year, Kesari and Mission Mangal, collected Rs 151.87 crore and Rs 192.67 crore respectively. Kumar's dominance at the box office this year is said to be his career-best. A significant chunk of his earnings also comes from brand endorsements. Currently, he endorses more than 20 top brands across categories.","Films, Endorsements"
Salman Khan,Consistently delivers Rs 100 crore-films—14 so far,229.25,https://www.forbesindia.com/media/celeblist2019/big/003_Salman Khan.jpg,3,Actor,"After three years of occupying the top position on the list, Salman Khan slipped to number three with only one movie release this year. His home production Bharat was the sixth Salman Khan film to earn over Rs 200 crore (the film made Rs 325 crore at the box office), while Bigg Boss season 13 further shored up his earnings by an estimated Rs 80 crore. Khan continues to endorse several brands including BharatPe and Emami Cooking Oil. ","Films, TV, Endorsements"
Amitabh Bachchan,"Was conferred the Padma Vibhushan in 2015, and called 'The Undisputed Godfather of Bollywood' by TIME magazine in 2003",239.25,https://www.forbesindia.com/media/celeblist2019/big/004_Amitabh Bachchan.jpg,3,Actor," At 77, Amitabh Bachchan is still known as Bollywood's angry young man. He is still a money maker, despite having a mixed year at the box office with Thugs of Hindostan and 102 Not Out going unnoticed, but Badla receiving acclaim. Bachchan hosted Season 11 of the long-running Kaun Banega Crorepati game show, and continues to attract numerous brand endorsements. ","Films, TV, Endorsements"
MS Dhoni,Leading India to the 2011 World Cup win,135.93,https://www.forbesindia.com/media/celeblist2019/big/005_Mahendra Singh Dhoni.jpg,3,Cricketer,"The former India captain retains his No 5 spot on the 2019 Forbes India Celebrity 100 list. He saw his income soar from Rs 101.77 crore in 2018 to Rs 135.93 crore this year. This is despite him not playing Test matches anymore. Like Sachin Tendulkar, he enjoys tremendous popularity, as a result of which several brands are keen to be associated with him. ","Cricket, Endorsements"
Shah Rukh Khan,"Despite dwindling fortunes at the box office of late, the superstar continues to command a strong  fan following across the globe; in 2014, he was awarded top French civilian award, 'Knight of the Legion of Honor'",124.38,https://www.forbesindia.com/media/celeblist2019/big/006_Shahrukh Khan.jpg,3,Actor,"The superstar had a quiet 2019, without a single release. His last release, Zero, in December 2018, turned out to be a damp squib. The film, made on a budget of about Rs 200 crore, grossed about Rs 185 crore at the box office. Khan, however, has a few big releases lined up, including Ashutosh Gowariker's Operation Khukri and Farhan Akhtar's Don 3. The moderate show at the box office, however, did not seem to impact Khan's endorsements. He endorses 14 brands including the likes of ICICI, Byju's, BigBasket, Tag Heuer, Lux and Hyundai. This apart, his production house, Red Chillies Entertainment, has been scoring big with Rs 100-crore grosser Badla and Netflix original, Bard of Blood. ","Films, TV, Endorsements"
Ranveer Singh,Critical acclaim for his roles in Padmaavat and Gully Boy; the latter was India's official entry to the Oscars,118.2,https://www.forbesindia.com/media/celeblist2019/big/007_Ranveer Singh.jpg,3,Actor,Ranveer Singh began the year on a high as his performance in Gully Boy was acclaimed by the critics as well as the masses. The film was selected as India's official entry to the Oscars. Singh has 30 brand endorsements in his kitty and has launched a music label called IncInk to promote raw hip-hop artistes in the country. He continues to be popular on social media. ,"Films, Endorsements"
Alia Bhatt,"Gully Boy, her highest grossing film, was also India's official entry for the Oscars",59.21,https://www.forbesindia.com/media/celeblist2019/big/008_Alia Bhatt.jpg,3,Actor,"Though her earnings stayed almost the same Alia Bhatt has moved up the list from number 12 to 8 courtesy her massive social media presence. The 26-year-old actor had two releases this year—the hugely successful Gully Boy, also India's official entry for the Oscars, and Kalank, which received a lukewarm response. Besides, she is the face of several brands including Lay's, Frooti, Uber Eats and Flipkart. ","Films, Endorsements"
Sachin Tendulkar,Awarded the Bharat Ratna in 2013; Member of the 2011 World Cup-winning team,76.96,https://www.forbesindia.com/media/celeblist2019/big/009_Sachin Tendulkar.jpg,3,Former Cricketer,"He remains at No 9 on the list, though his income has seen a slight dip: From Rs 80 crore in 2018 with 17 brands in his kitty to Rs 76.96 crore this year. The only cricketer to score 100 international hundreds continues to be a brand favourite for the values that he embodies. ",Endorsements
Deepika Padukone,"Padmaavat, for which she was reportedly paid Rs 12 crore",48,https://www.forbesindia.com/media/celeblist2019/big/010_Deepika Padukone.jpg,3,Actor,"Deepika Padukone, who was riding high on the success of Padmaavat and became the first woman to break into the top 5 last year, has this year slipped to number 10. The actor had no film releases this year and her earnings, down from Rs 112.8 crore to Rs 48 crore, mainly came from endorsements—she is the face of several brands including Tanishq, Tetley Green Tea and L'Oreal Paris, as well as her own fashion brand All About You.  ,                                
                              
",Endorsements
